tweet_id,retweet_count,favorite_count
869772420881756160,9341,40150
869702957897576449,5816,26616
869596645499047938,2883,15059
869227993411051520,3483,19277
868880397819494401,13347,61759
868639477480148993,1921,0
868622495443632128,4904,25198
868552278524837888,1921,9523
867900495410671616,3870,22902
867774946302451713,6817,32119
867421006826221569,2305,15214
867072653475098625,112,0
867051520902168576,7323,30517
866720684873056260,4458,18960
866686824827068416,3245,18255
866450705531457537,32729,115873
866334964761202691,13260,49651
866094527597207552,7800,0
865718153858494464,5230,24341
865359393868664832,4663,25100
865006731092295680,7179,26603
864873206498414592,8109,30643
864279568663928832,2820,13849
864197398364647424,8271,28493
863907417377173506,3868,19574
863553081350529029,3920,14521
863471782782697472,2273,0
863432100342583297,4912,22623
863427515083354112,89,2097
863079547188785154,1040,8356
863062471531167744,2273,8045
862831371563274240,4831,18283
862722525377298433,3311,16300
862457590147678208,4621,19476
862096992088072192,21709,70759
861383897657036800,10052,34397
861288531465048066,3885,16375
861005113778896900,3583,15931
860981674716409858,2017,0
860924035999428608,750,0
860563773140209665,2017,7155
860524505164394496,4994,22599
860276583193509888,3302,17563
860184849394610176,5505,15928
860177593139703809,29169,0
859924526012018688,3871,18730
859851578198683649,3313,14762
859607811541651456,1478,17830
859196978902773760,28476,86040
859074603037188101,12884,32385
858860390427611136,7672,0
858843525470990336,3297,14951
858471635011153920,4606,20643
858107933456039936,2747,15130
857989990357356544,2465,15457
857746408056729600,10097,32912
857393404942143489,1561,5654
857263160327368704,4296,19293
857214891891077121,17,215
857062103051644929,161,0
857029823797047296,3785,18149
856543823941562368,2749,15734
856526610513747968,1792,11436
856330835276025856,639,0
856288084350160898,15,496
856282028240666624,6010,26776
855862651834028034,24,324
855860136149123072,935,4745
855857698524602368,2018,11474
855851453814013952,17260,44231
855818117272018944,5203,25767
855459453768019968,7883,28823
855245323840757760,5710,0
855138241867124737,43,0
854732716440526848,5821,22055
854482394044301312,6594,28387
854365224396361728,4514,18332
854120357044912130,7181,31054
854010172552949760,3032,15766
853760880890318849,5536,27769
853639147608842240,9692,33686
853299958564483072,3440,15085
852936405516943360,1929,0
852912242202992640,1751,8796
852672615818899456,2086,14520
852553447878664193,3356,15887
852311364735569921,9628,32329
852226086759018497,6635,19503
852189679701164033,1544,11185
851861385021730816,19,0
851591660324737024,3370,15889
851464819735769094,6855,23709
851224888060895234,5579,20242
850753642995093505,8868,30161
850380195714523136,2538,12825
850333567704068097,319,3384
850145622816686080,3693,16006
850019790995546112,4744,19988
849776966551130114,7394,29832
849668094696017920,4825,0
849412302885593088,3078,15566
849336543269576704,1852,11218
849051919805034497,8267,41560
848690551926992896,4226,24739
